Fecha_Numero,Fecha,Local,Visitante,Jugador,Oponente,Es_Local,Prediccion_Goles,Prediccion_Continua,Promedio_Historico_vs_Oponente,Historico_Tiros_Totales,Historico_Tiros_Puerta,Confianza,Prob_0goles,Prob_1gol,Prob_2goles,Prob_3mas_goles,Rango_Prediccion,Probabilidades
1,2025-01-24,Atlético Nacional,Once Caldas,Dayro_Moreno,Atlético Nacional,False,1,0.9558482,0.5555555555555556,2.5555555555555554,1.1111111111111112,1.0,0.3844858787377913,0.36751014165723234,0.17564195681817055,0.072362022786806,"[0.955848217010498, 0.955848217010498]","{'P(0)': 0.3844858787377913, 'P(1)': 0.36751014165723234, 'P(2)': 0.17564195681817055, 'P(3)': 0.05596235041896107, 'P(4)': 0.013372878216920153, 'P(5+)': 0.003026794150924772}"
2,2025-01-31,Once Caldas,Fortaleza CEIF,Dayro_Moreno,Fortaleza CEIF,True,1,0.81311,0.3333333333333333,3.3333333333333335,0.6666666666666666,1.0,0.4434767094541827,0.36059534453444075,0.1466018392036277,0.04932610680774889,"[0.8131099939346313, 0.8131099939346313]","{'P(0)': 0.4434767094541827, 'P(1)': 0.36059534453444075, 'P(2)': 0.1466018392036277, 'P(3)': 0.03973447352855585, 'P(4)': 0.008077124382449948, 'P(5+)': 0.0015145088967430942}"
3,2025-02-07,Once Caldas,Bucaramanga,Dayro_Moreno,Bucaramanga,True,1,0.8370239,0.6,3.0,1.2,1.0,0.4329972448814335,0.3624290486013933,0.15168089037850538,0.052892816138667836,"[0.837023913860321, 0.837023913860321]","{'P(0)': 0.4329972448814335, 'P(1)': 0.3624290486013933, 'P(2)': 0.15168089037850538, 'P(3)': 0.04232017750747829, 'P(4)': 0.008855750153143247, 'P(5+)': 0.0017168884780462967}"
4,2025-02-11,Junior,Once Caldas,Dayro_Moreno,Junior,False,1,0.9215692,0.36363636363636365,3.4545454545454546,1.0909090909090908,1.0,0.39789416419348506,0.3666870177900533,0.16896373598279135,0.06645508203367029,"[0.9215692281723022, 0.9215692281723022]","{'P(0)': 0.39789416419348506, 'P(1)': 0.3666870177900533, 'P(2)': 0.16896373598279135, 'P(3)': 0.051903926586256546, 'P(4)': 0.01195826539080207, 'P(5+)': 0.002592890056611674}"
5,2025-02-15,Once Caldas,Pereira,Dayro_Moreno,Pereira,True,1,0.8560215,0.8,3.0,1.4,0.9999999403953588,0.42484897613692457,0.363679867799799,0.15565889724570292,0.05581225881757356,"[0.8560214066505432, 0.8560216403007508]","{'P(0)': 0.42484897613692457, 'P(1)': 0.363679867799799, 'P(2)': 0.15565889724570292, 'P(3)': 0.04441578878760192, 'P(4)': 0.009505217796083888, 'P(5+)': 0.0018912522338877524}"
6,2025-02-21,Rionegro,Once Caldas,Dayro_Moreno,Rionegro,False,1,0.93495023,0.3333333333333333,2.8333333333333335,1.3333333333333333,0.9999999403953588,0.39260540403249194,0.36706651378321126,0.1715944612033531,0.06873362098094374,"[0.9349501156806945, 0.9349503493309022]","{'P(0)': 0.39260540403249194, 'P(1)': 0.36706651378321126, 'P(2)': 0.1715944612033531, 'P(3)': 0.053477427132927406, 'P(4)': 0.012499683232935582, 'P(5+)': 0.002756510615080754}"
7,2025-02-28,Once Caldas,Alianza FC,Dayro_Moreno,Alianza FC,True,1,0.83438444,0.5714285714285714,4.0,2.0,1.0,0.4341416388289704,0.3622410287922554,0.15112413922609835,0.05249319315267588,"[0.8343844413757324, 0.8343844413757324]","{'P(0)': 0.4341416388289704, 'P(1)': 0.3622410287922554, 'P(2)': 0.15112413922609835, 'P(3)': 0.04203187682885216, 'P(4)': 0.008767686016953848, 'P(5+)': 0.0016936303068698644}"
8,2025-03-07,Deportes Tolima,Once Caldas,Dayro_Moreno,Deportes Tolima,False,1,0.9377386,0.36363636363636365,2.0,0.9090909090909091,0.9999999403953588,0.39151220174109197,0.3671361029229509,0.17213884710365662,0.06921284823230048,"[0.9377384805679321, 0.9377387142181397]","{'P(0)': 0.39151220174109197, 'P(1)': 0.3671361029229509, 'P(2)': 0.17213884710365662, 'P(3)': 0.0538070803466124, 'P(4)': 0.012614244013511671, 'P(5+)': 0.0027915238721764046}"
9,2025-03-14,Once Caldas,Independiente Santa Fe,Dayro_Moreno,Independiente Santa Fe,True,1,0.8228774,0.4444444444444444,3.6666666666666665,1.4444444444444444,1.0,0.4391661748708735,0.3613799232523401,0.14868568710723876,0.050768214769547806,"[0.8228774070739746, 0.8228774070739746]","{'P(0)': 0.4391661748708735, 'P(1)': 0.3613799232523401, 'P(2)': 0.14868568710723876, 'P(3)': 0.04078336422527231, 'P(4)': 0.00838992725136139, 'P(5+)': 0.0015949232929141077}"
10,2025-03-22,Pereira,Once Caldas,Dayro_Moreno,Pereira,False,1,0.97982675,0.8,3.0,1.4,1.0,0.3753761277436288,0.3678035706631836,0.18019188834109812,0.07662841325208952,"[0.9798267483711243, 0.9798267483711243]","{'P(0)': 0.3753761277436288, 'P(1)': 0.3678035706631836, 'P(2)': 0.18019188834109812, 'P(3)': 0.05885227734537028, 'P(4)': 0.014416258886387432, 'P(5+)': 0.003359877020331803}"
11,2025-03-28,Envigado,Once Caldas,Dayro_Moreno,Envigado,False,1,0.9505309,0.5,2.5,0.6666666666666666,0.9999999403953588,0.3865357622981336,0.3674141808592116,0.17461926354996063,0.07143079329269422,"[0.9505307698249816, 0.9505310034751893]","{'P(0)': 0.3865357622981336, 'P(1)': 0.3674141808592116, 'P(2)': 0.17461926354996063, 'P(3)': 0.055327001136109666, 'P(4)': 0.01314750586139915, 'P(5+)': 0.0029562862951854063}"
12,2025-04-04,Once Caldas,América de Cali,Dayro_Moreno,América de Cali,True,1,0.78549635,0.0,0.0,0.0,1.0,0.45589336107737505,0.3581025729860809,0.14064413273775084,0.04535993319879331,"[0.7854963541030884, 0.7854963541030884]","{'P(0)': 0.45589336107737505, 'P(1)': 0.3581025729860809, 'P(2)': 0.14064413273775084, 'P(3)': 0.03682515116383136, 'P(4)': 0.00723150549462116, 'P(5+)': 0.001303276540340792}"
13,2025-04-10,Boyacá Chicó,Once Caldas,Dayro_Moreno,Boyacá Chicó,False,1,0.96604145,0.75,3.75,2.25,1.0,0.3805866329491994,0.36766246112056306,0.17758858774116845,0.07416231818906904,"[0.9660414457321167, 0.9660414457321167]","{'P(0)': 0.3805866329491994, 'P(1)': 0.36766246112056306, 'P(2)': 0.17758858774116845, 'P(3)': 0.05718597868233441, 'P(4)': 0.01381100638047208, 'P(5+)': 0.0031653331262625484}"
14,2025-04-14,Once Caldas,La Equidad,Dayro_Moreno,La Equidad,True,1,0.7741396,0.25,2.625,0.875,1.0,0.46110034889544377,0.3569560318661676,0.1381668968488819,0.04377672238950669,"[0.7741395831108093, 0.7741395831108093]","{'P(0)': 0.46110034889544377, 'P(1)': 0.3569560318661676, 'P(2)': 0.1381668968488819, 'P(3)': 0.03565348797543587, 'P(4)': 0.0069001940794375435, 'P(5+)': 0.001223040334633274}"
15,2025-04-19,Independiente Medellín,Once Caldas,Dayro_Moreno,Independiente Medellín,False,1,1.0040913,1.0,3.1666666666666665,1.5,1.0,0.3663774243603797,0.36787637069379375,0.18469072480530352,0.08105548014052294,"[1.0040912628173828, 1.0040912628173828]","{'P(0)': 0.3663774243603797, 'P(1)': 0.36787637069379375, 'P(2)': 0.18469072480530352, 'P(3)': 0.06181544770013833, 'P(4)': 0.015517087735713442, 'P(5+)': 0.0037229447046711606}"
16,2025-04-26,Once Caldas,Llaneros,Dayro_Moreno,Llaneros,True,1,0.78549635,0.0,1.0,1.0,1.0,0.45589336107737505,0.3581025729860809,0.14064413273775084,0.04535993319879331,"[0.7854963541030884, 0.7854963541030884]","{'P(0)': 0.45589336107737505, 'P(1)': 0.3581025729860809, 'P(2)': 0.14064413273775084, 'P(3)': 0.03682515116383136, 'P(4)': 0.00723150549462116, 'P(5+)': 0.001303276540340792}"
17,2025-05-03,Unión Magdalena,Once Caldas,Dayro_Moreno,Unión Magdalena,False,1,0.9505309,0.5,2.0,1.5,0.9999999403953588,0.3865357622981336,0.3674141808592116,0.17461926354996063,0.07143079329269422,"[0.9505307698249816, 0.9505310034751893]","{'P(0)': 0.3865357622981336, 'P(1)': 0.3674141808592116, 'P(2)': 0.17461926354996063, 'P(3)': 0.055327001136109666, 'P(4)': 0.01314750586139915, 'P(5+)': 0.0029562862951854063}"
18,2025-05-10,Once Caldas,Millonarios,Dayro_Moreno,Millonarios,True,1,0.81674004,0.375,1.5,0.375,1.0,0.4418697886986267,0.3608927471337754,0.1473777776450277,0.049859686522570244,"[0.8167400360107422, 0.8167400360107422]","{'P(0)': 0.4418697886986267, 'P(1)': 0.3608927471337754, 'P(2)': 0.1473777776450277, 'P(3)': 0.040123110473661024, 'P(4)': 0.008192537673280225, 'P(5+)': 0.0015440383756289977}"
19,2025-05-17,Deportivo Pasto,Once Caldas,Dayro_Moreno,Deportivo Pasto,False,1,0.9199997,0.16666666666666666,3.5,1.1666666666666667,1.0,0.3985191532014553,0.366637508828382,0.1686532024872713,0.06619013548289135,"[0.9199997186660767, 0.9199997186660767]","{'P(0)': 0.3985191532014553, 'P(1)': 0.366637508828382, 'P(2)': 0.1686532024872713, 'P(3)': 0.051720299613474144, 'P(4)': 0.011895665273430354, 'P(5+)': 0.0025741705959868577}"
20,2025-05-24,Once Caldas,Deportivo Cali,Dayro_Moreno,Deportivo Cali,True,1,0.82786644,0.5,4.166666666666667,1.8333333333333333,1.0,0.4369806189709384,0.3617615872138345,0.14974513777254786,0.051512656042679385,"[0.8278664350509644, 0.8278664350509644]","{'P(0)': 0.4369806189709384, 'P(1)': 0.3617615872138345, 'P(2)': 0.14974513777254786, 'P(3)': 0.041322991124658245, 'P(4)': 0.008552479337003363, 'P(5+)': 0.001637185581017775}"
